tesisat_no_id,il,ilce,load_profile_date,outlier_kolon,outlier_deger,p99_esik,p01_esik
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-15 15:45:00,l1,31.58,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-15 18:00:00,l1,29.76,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-16 08:30:00,l1,33.84,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-17 16:30:00,l1,29.81,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-17 19:30:00,l1,33.02,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-18 12:30:00,l1,35.8,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-18 18:00:00,l1,45.36,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-18 18:15:00,l1,41.86,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-18 18:30:00,l1,34.23,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-18 18:45:00,l1,43.15,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-18 19:30:00,l1,36.2,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-18 19:15:00,l1,56.57,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-18 19:45:00,l1,31.97,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-18 20:00:00,l1,33.51,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-18 20:15:00,l1,39.33,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-18 20:30:00,l1,31.26,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-18 21:00:00,l1,33.0,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-19 12:30:00,l1,53.69,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-19 13:00:00,l1,38.04,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-19 13:15:00,l1,35.31,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-19 13:45:00,l1,40.01,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-19 14:30:00,l1,31.46,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-19 15:30:00,l1,30.1,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-19 17:45:00,l1,39.66,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-19 19:00:00,l1,32.61,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-19 18:45:00,l1,40.38,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-19 21:00:00,l1,27.61,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-20 09:15:00,l1,28.03,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-21 05:45:00,l1,29.72,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-21 13:00:00,l1,29.74,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-21 17:30:00,l1,34.42,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-21 17:15:00,l1,27.75,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-21 18:15:00,l1,28.41,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-22 13:00:00,l1,31.8,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-23 08:00:00,l1,32.71,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-23 13:00:00,l1,37.55,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-23 13:15:00,l1,27.67,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-23 17:30:00,l1,36.22,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-23 17:45:00,l1,29.56,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-23 18:00:00,l1,42.85,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-23 18:30:00,l1,50.79,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-23 18:15:00,l1,32.9,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-23 19:00:00,l1,34.62,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-23 18:45:00,l1,29.37,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-23 19:30:00,l1,32.0,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-23 19:15:00,l1,33.61,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-24 08:15:00,l1,29.63,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-24 12:30:00,l1,33.49,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-24 13:00:00,l1,37.64,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-24 12:45:00,l1,35.86,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-24 13:30:00,l1,29.75,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-24 13:15:00,l1,29.73,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-25 08:00:00,l1,28.96,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-25 09:45:00,l1,28.75,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-26 08:30:00,l1,28.09,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-26 08:45:00,l1,35.39,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-26 11:30:00,l1,28.84,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-26 13:45:00,l1,44.02,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-26 14:00:00,l1,51.13,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-26 14:15:00,l1,37.94,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-27 13:00:00,l1,27.75,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-27 13:15:00,l1,27.87,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-27 13:45:00,l1,35.28,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-27 14:00:00,l1,35.02,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-27 14:30:00,l1,48.19,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-27 15:45:00,l1,28.88,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-28 12:15:00,l1,29.09,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-28 12:30:00,l1,45.44,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-28 12:45:00,l1,40.83,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-28 13:00:00,l1,32.33,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-28 13:15:00,l1,47.27,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-28 13:30:00,l1,29.44,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-28 13:45:00,l1,30.43,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-29 08:15:00,l1,32.75,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-29 18:45:00,l1,32.66,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-30 17:30:00,l1,29.47,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-08-31 20:30:00,l1,34.86,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-01 12:15:00,l1,33.46,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-01 12:30:00,l1,33.26,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-01 13:00:00,l1,38.68,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-01 12:45:00,l1,46.29,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-01 13:15:00,l1,35.68,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-01 13:30:00,l1,40.97,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-01 17:45:00,l1,35.96,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-01 18:00:00,l1,46.68,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-01 18:15:00,l1,33.28,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-01 18:30:00,l1,28.47,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-01 19:00:00,l1,34.05,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-01 18:45:00,l1,41.69,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-01 19:45:00,l1,30.1,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-01 19:48:00,l1,66.17,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-01 20:15:00,l1,31.58,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-01 20:45:00,l1,33.4,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-01 21:30:00,l1,28.55,27.5652,0.0
db0c5926f2b64a6e9fe3a0c3e5126c14,ÇORUM,Merkez,2025-09-03 15:30:00,l1,29.06,27.5652,0.0
